Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes       
"154","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1000","10.32","0","2023-11-11 GMT+1100","10:05:00",,"Sell","FIFO",,
"155","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1000","10.62","0","2023-11-18 GMT+1100","10:52:00",,"Sell","FIFO",,
"156","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","2000","10.63","0","2023-12-05 GMT+1100","08:28:00",,"Sell","FIFO",,
"157","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1000","11.6","0","2023-12-28 GMT+1100","05:58:00",,"Sell","FIFO",,
       
"158","USDAUD=X","USD/AUD",,"CCY","USA","AUD",,,,,,,,,,
       
"159","GOOG","Alphabet Inc.",,"NMS","USA","USD",,,,,,,,,,
"160","GOOG","Alphabet Inc.",,"NMS","USA","USD","100","237","0","2025-10-13 GMT+1100","13:58:00",,"Buy",,,
       
"161","AAPL","Apple Inc.",,"NMS","USA","USD",,,,,,,,,,
"162","AAPL","Apple Inc.",,"NMS","USA","USD","200","189","0","2019-03-27 GMT+1100","00:00:00","0","Buy",,,
       
"163","GREK","Global X MSCI Greece ETF",,"PCX","USA","USD",,,,,,,,,,
"164","GREK","Global X MSCI Greece ETF",,"PCX","USA","USD","500","8.56","0","2019-04-30 GMT+1000","00:00:00","0","Buy",,,
"165","GREK","Global X MSCI Greece ETF",,"PCX","USA","USD","500","9.45","0","2019-09-15 GMT+1000","00:00:00","0","Buy",,,
       
"166","INDY","iShares India 50 ETF",,"NGM","USA","USD",,,,,,,,,,
"167","INDY","iShares India 50 ETF",,"NGM","USA","USD","200","38.585","0","2019-09-12 GMT+1000","00:00:00","0","Buy",,,
       
"168","BMY","Bristol-Myers Squibb Company",,"NYQ","USA","USD",,,,,,,,,,
"169","BMY","Bristol-Myers Squibb Company",,"NYQ","USA","USD","100","51.94","0","2019-09-16 GMT+1000","00:00:00","0","Buy",,,
       
"170","RTN","Raytheon Company",,"NYQ","USA","USD",,,,,,,,,,
"171","RTN","Raytheon Company",,"NYQ","USA","USD","100","186.5","0","2020-02-28 GMT+1100","00:00:00","0","Buy",,,
       
"172","TMO","Thermo Fisher Scientific Inc",,"NYQ","USA","USD",,,,,,,,,,
"173","TMO","Thermo Fisher Scientific Inc",,"NYQ","USA","USD","30","295.35","0","2020-03-10 GMT+1100","00:00:00","0","Buy",,,
       
"174","IGF","iShares Global Infrastructure E",,"NGM","USA","USD",,,,,,,,,,
"175","IGF","iShares Global Infrastructure E",,"NGM","USA","USD","200","33.8","0","2020-03-09 GMT+1100","18:00:00","0","Buy",,,
       
"176","VHT","Vanguard Health Care ETF",,"PCX","USA","USD",,,,,,,,,,
"177","VHT","Vanguard Health Care ETF",,"PCX","USA","USD","50","157.32","0","2020-03-18 GMT+1100","18:00:00","0","Buy",,,
       
"178","UTG","53270",,"ASE","USA","USD",,,,,,,,,,
"179","UTG","53270",,"ASE","USA","USD","300","24","0","2020-03-19 GMT+1100","18:00:00","0","Buy",,,
       
"180","EPR","EPR Properties","EPR Properties","NYQ","US watch","USD",,,,,,,,,,
